order_date,region,product,units,unit_price,discount,revenue
2025-02-06,West,Monitor,5,899.0,0.0,4495.0
2025-02-07,West,Phone,6,899.0,0.0,5394.0
2025-02-08,South,Laptop,16,599.0,0.05,9104.8
2025-02-09,East,Monitor,19,399.0,0.0,7581.0
2025-02-10,North,Tablet,13,399.0,0.1,4668.3
2025-02-11,West,Phone,18,599.0,0.2,8625.6
2025-02-12,East,Tablet,17,249.0,,4233.0
2025-02-13,South,Tablet,10,599.0,0.1,5391.0
2025-02-14,North,Monitor,15,899.0,,13485.0
2025-02-15,West,Phone,7,899.0,,6293.0
2025-02-16,South,Monitor,9,249.0,,2241.0
2025-02-17,West,Monitor,11,899.0,0.1,8900.1
2025-02-18,East,Laptop,19,249.0,0.05,4494.45
2025-02-19,West,Laptop,17,599.0,,10183.0
2025-02-20,West,Tablet,10,899.0,0.05,8540.5
2025-02-21,North,Laptop,13,599.0,0.1,7008.3
2025-02-22,South,Phone,4,399.0,0.0,1596.0
2025-02-23,South,Phone,16,599.0,0.2,7667.2
2025-02-24,South,Monitor,11,249.0,0.2,2191.2
2025-02-25,North,Monitor,11,399.0,0.0,4389.0
2025-02-26,East,Laptop,15,599.0,0.05,8535.75
2025-02-27,North,Monitor,13,399.0,0.1,4668.3
2025-02-28,East,Laptop,2,249.0,0.1,448.2
2025-03-01,East,Tablet,6,599.0,,3594.0
2025-03-02,West,Monitor,4,899.0,0.05,3416.2
2025-03-03,East,Monitor,14,599.0,,8386.0
2025-03-04,South,Laptop,1,249.0,0.1,224.1
2025-03-05,West,Monitor,4,899.0,,3596.0
2025-03-06,South,Laptop,12,249.0,0.05,2838.6
2025-03-07,South,Tablet,14,399.0,0.0,5586.0
2025-03-08,West,Phone,10,399.0,0.0,3990.0
2025-03-09,South,Phone,17,599.0,0.05,9673.85
2025-03-10,North,Laptop,18,249.0,,4482.0
2025-03-11,South,Monitor,3,899.0,0.0,2697.0
2025-03-12,West,Phone,19,599.0,0.05,10811.95
2025-03-13,North,Tablet,12,599.0,0.0,7188.0
2025-03-14,South,Phone,13,599.0,,7787.0
2025-03-15,North,Phone,2,599.0,0.2,958.4
2025-03-16,East,Monitor,12,899.0,0.2,8630.4
2025-03-17,South,Laptop,14,899.0,0.2,10068.8
2025-03-18,South,Tablet,12,899.0,0.2,8630.4
2025-03-19,North,Tablet,2,399.0,0.2,638.4
2025-03-20,East,Phone,10,599.0,0.0,5990.0
2025-03-21,East,Phone,18,399.0,,7182.0
2025-03-22,West,Laptop,14,399.0,0.2,4468.8
2025-03-23,South,Monitor,3,399.0,0.2,957.6
2025-03-24,North,Monitor,19,399.0,0.05,7201.95
2025-03-25,West,Laptop,19,399.0,,7581.0
2025-03-26,East,Laptop,4,399.0,0.05,1516.2
2025-03-27,East,Laptop,16,399.0,0.0,6384.0
2025-03-28,North,Laptop,8,399.0,,3192.0
2025-03-29,South,Monitor,12,599.0,0.05,6828.6
2025-03-30,West,Monitor,9,899.0,0.0,8091.0
2025-03-31,West,Laptop,15,249.0,0.2,2988.0
2025-04-01,South,Tablet,19,599.0,0.05,10811.95
2025-04-02,West,Laptop,16,399.0,,6384.0
2025-04-03,West,Phone,18,899.0,0.1,14563.8
2025-04-04,South,Tablet,18,599.0,0.0,10782.0
2025-04-05,West,Tablet,2,399.0,,798.0
2025-04-06,South,Monitor,5,399.0,0.1,1795.5
2025-04-07,North,Laptop,14,399.0,0.05,5306.7
2025-04-08,East,Laptop,12,599.0,0.2,5750.4
2025-04-09,East,Phone,1,249.0,0.1,224.1
2025-04-10,North,Phone,2,399.0,0.0,798.0
2025-04-11,West,Monitor,10,249.0,0.2,1992.0
2025-04-12,North,Monitor,12,399.0,0.1,4309.2
2025-04-13,West,Phone,4,399.0,0.2,1276.8
2025-04-14,North,Monitor,4,249.0,,996.0
2025-04-15,West,Phone,3,899.0,0.2,2157.6
2025-04-16,West,Tablet,11,249.0,0.2,2191.2
2025-04-17,West,Phone,1,249.0,0.05,236.55
2025-04-18,East,Laptop,11,399.0,0.05,4169.55
2025-04-19,South,Monitor,10,399.0,0.1,3591.0
2025-04-20,East,Laptop,9,399.0,,3591.0
2025-04-21,South,Laptop,13,599.0,0.1,7008.3
2025-04-22,West,Laptop,10,249.0,0.05,2365.5
2025-04-23,East,Phone,14,899.0,0.2,10068.8
2025-04-24,South,Laptop,15,599.0,,8985.0
2025-04-25,East,Laptop,18,399.0,,7182.0
2025-04-26,East,Tablet,16,249.0,0.05,3784.8
2025-04-27,North,Monitor,10,599.0,0.2,4792.0
2025-04-28,North,Laptop,10,599.0,0.1,5391.0
2025-04-29,North,Phone,5,899.0,0.1,4045.5
2025-04-30,North,Tablet,12,899.0,0.05,10248.6
2025-05-01,South,Monitor,3,899.0,0.0,2697.0
2025-05-02,East,Tablet,18,899.0,0.05,15372.9
2025-05-03,East,Monitor,17,249.0,0.1,3809.7
2025-05-04,South,Tablet,3,249.0,,747.0
2025-05-05,West,Phone,15,249.0,,3735.0
2025-05-06,East,Laptop,3,899.0,0.0,2697.0
2025-05-07,North,Monitor,14,899.0,0.2,10068.8
2025-05-08,West,Monitor,2,599.0,0.0,1198.0
2025-05-09,East,Laptop,10,399.0,0.2,3192.0
2025-05-10,East,Tablet,13,599.0,0.05,7397.65
2025-05-11,East,Laptop,14,599.0,0.1,7547.4
2025-05-12,East,Tablet,8,899.0,0.2,5753.6
2025-05-13,North,Monitor,18,399.0,0.1,6463.8
2025-05-14,East,Laptop,15,599.0,,8985.0
2025-05-15,West,Phone,4,899.0,0.1,3236.4
2025-05-16,South,Laptop,13,399.0,,5187.0
2025-05-17,East,Tablet,14,249.0,0.2,2788.8
2025-05-18,North,Monitor,7,899.0,0.05,5978.35
2025-05-19,South,Laptop,15,599.0,0.2,7188.0
2025-05-20,South,Phone,18,249.0,0.1,4033.8
2025-05-21,West,Monitor,16,399.0,0.1,5745.6
2025-05-22,North,Phone,15,249.0,0.0,3735.0
2025-05-23,South,Laptop,13,599.0,0.0,7787.0
2025-05-24,South,Phone,6,599.0,0.1,3234.6
2025-05-25,West,Tablet,16,399.0,0.0,6384.0
2025-05-26,West,Tablet,7,899.0,,6293.0
2025-05-27,North,Phone,11,899.0,,9889.0
2025-05-28,North,Monitor,6,399.0,0.2,1915.2
2025-05-29,West,Tablet,6,399.0,0.2,1915.2
2025-05-30,North,Phone,3,899.0,0.1,2427.3
2025-05-31,West,Monitor,19,399.0,0.0,7581.0
2025-06-01,South,Monitor,3,599.0,0.05,1707.15
2025-06-02,West,Phone,2,399.0,0.1,718.2
2025-06-03,South,Laptop,18,249.0,,4482.0
2025-06-04,South,Tablet,11,899.0,0.05,9394.55
2025-06-05,East,Tablet,9,249.0,0.1,2016.9
2025-06-06,North,Laptop,15,599.0,0.05,8535.75
2025-06-07,East,Tablet,8,249.0,0.0,1992.0
2025-06-08,East,Monitor,3,599.0,0.0,1797.0
2025-06-09,West,Laptop,14,599.0,0.05,7966.7
2025-06-10,West,Tablet,4,249.0,0.0,996.0
2025-06-11,East,Laptop,11,399.0,0.0,4389.0
2025-06-12,South,Tablet,19,899.0,0.05,16226.95
2025-06-13,South,Phone,18,399.0,0.05,6822.9
2025-06-14,South,Laptop,7,249.0,0.1,1568.7
2025-06-15,West,Monitor,15,599.0,0.0,8985.0
2025-06-16,South,Laptop,12,249.0,0.05,2838.6
2025-06-17,North,Tablet,10,399.0,0.1,3591.0
2025-06-18,South,Laptop,3,599.0,,1797.0
2025-06-19,North,Monitor,8,899.0,0.2,5753.6
2025-06-20,North,Tablet,13,399.0,,5187.0
2025-06-21,North,Monitor,19,899.0,0.05,16226.95
2025-06-22,West,Phone,1,249.0,0.1,224.1
2025-06-23,East,Phone,14,399.0,0.1,5027.4
2025-06-24,East,Tablet,17,599.0,,10183.0
2025-06-25,South,Monitor,19,899.0,,17081.0
2025-06-26,East,Monitor,9,399.0,,3591.0
2025-06-27,North,Laptop,3,899.0,0.2,2157.6
2025-06-28,West,Tablet,6,599.0,0.1,3234.6
2025-06-29,East,Laptop,17,249.0,0.1,3809.7
2025-06-30,West,Phone,17,249.0,,4233.0
2025-07-01,North,Monitor,13,249.0,0.05,3075.15
2025-07-02,South,Phone,3,249.0,0.05,709.65
2025-07-03,East,Monitor,3,399.0,,1197.0
2025-07-04,South,Phone,10,899.0,0.05,8540.5
2025-07-05,South,Laptop,12,249.0,0.05,2838.6
2025-07-06,North,Phone,1,249.0,0.1,224.1
2025-07-07,South,Tablet,14,249.0,0.05,3311.7
2025-07-08,North,Monitor,11,399.0,,4389.0
2025-07-09,South,Tablet,1,899.0,,899.0
2025-07-10,East,Monitor,2,399.0,0.05,758.1
2025-07-11,East,Monitor,9,599.0,0.1,4851.9
2025-07-12,East,Monitor,14,249.0,,3486.0
2025-07-13,South,Tablet,16,599.0,0.2,7667.2
2025-07-14,West,Phone,9,599.0,0.05,5121.45
2025-07-15,North,Phone,6,899.0,0.1,4854.6
2025-07-16,South,Laptop,19,249.0,0.2,3784.8
2025-07-17,North,Phone,9,249.0,0.2,1792.8
2025-07-18,South,Monitor,6,899.0,0.0,5394.0
2025-07-19,West,Phone,9,599.0,0.05,5121.45
2025-07-20,South,Laptop,1,599.0,,599.0
2025-07-21,West,Tablet,6,599.0,0.05,3414.3
2025-07-22,South,Monitor,10,249.0,0.05,2365.5
2025-07-23,East,Monitor,18,899.0,0.05,15372.9
2025-07-24,South,Phone,15,599.0,0.0,8985.0
2025-07-25,South,Phone,15,899.0,0.0,13485.0
2025-07-26,West,Tablet,11,899.0,0.05,9394.55
2025-07-27,West,Laptop,3,249.0,,747.0
2025-07-28,South,Phone,8,249.0,0.0,1992.0
2025-07-29,West,Laptop,19,899.0,0.05,16226.95
2025-07-30,South,Monitor,1,399.0,0.0,399.0
2025-07-31,East,Tablet,17,899.0,0.1,13754.7
2025-08-01,West,Monitor,14,899.0,0.05,11956.7
2025-08-02,South,Monitor,6,599.0,0.2,2875.2
2025-08-03,East,Monitor,15,899.0,0.1,12136.5
2025-08-04,South,Laptop,16,599.0,0.2,7667.2
2025-08-05,North,Monitor,1,249.0,0.2,199.2
2025-08-06,North,Laptop,3,399.0,0.1,1077.3
2025-08-07,South,Phone,13,399.0,,5187.0
2025-08-08,West,Tablet,19,599.0,0.1,10242.9
2025-08-09,North,Phone,1,899.0,,899.0
2025-08-10,South,Laptop,13,899.0,,11687.0
2025-08-11,East,Laptop,3,599.0,0.1,1617.3
2025-08-12,North,Monitor,13,899.0,0.2,9349.6
2025-08-13,East,Phone,12,249.0,0.05,2838.6
2025-08-14,South,Phone,2,249.0,,498.0
2025-08-15,West,Monitor,13,249.0,0.2,2589.6
2025-08-16,East,Laptop,18,399.0,,7182.0
2025-08-17,East,Monitor,17,399.0,0.05,6443.85
2025-08-18,North,Monitor,1,399.0,0.2,319.2
2025-08-19,South,Tablet,5,599.0,0.1,2695.5
2025-08-20,West,Laptop,5,399.0,0.0,1995.0
2025-08-21,North,Laptop,9,249.0,0.0,2241.0
2025-08-22,West,Phone,3,249.0,0.1,672.3
2025-08-23,South,Tablet,17,399.0,0.05,6443.85
2025-08-24,East,Laptop,15,899.0,0.0,13485.0
2025-08-25,East,Phone,16,399.0,0.1,5745.6
2025-08-26,South,Laptop,4,599.0,0.2,1916.8
2025-08-27,South,Tablet,1,399.0,0.05,379.05
2025-08-28,East,Laptop,18,399.0,,7182.0
2025-08-29,North,Tablet,6,249.0,0.2,1195.2
2025-08-30,East,Laptop,13,599.0,0.1,7008.3
2025-08-31,North,Laptop,18,249.0,,4482.0
2025-09-01,East,Laptop,1,249.0,0.1,224.1
2025-09-02,East,Monitor,1,599.0,0.0,599.0
2025-09-03,North,Laptop,1,599.0,0.0,599.0
2025-09-04,West,Phone,3,399.0,,1197.0
2025-09-05,South,Tablet,1,249.0,,249.0
2025-09-06,West,Tablet,16,399.0,0.2,5107.2
2025-09-07,North,Tablet,12,249.0,0.0,2988.0
2025-09-08,North,Monitor,19,599.0,0.05,10811.95
2025-09-09,South,Phone,16,399.0,0.0,6384.0
2025-09-10,North,Monitor,19,599.0,0.0,11381.0
2025-09-11,South,Phone,5,249.0,0.05,1182.75
2025-09-12,East,Monitor,6,599.0,0.1,3234.6
2025-09-13,North,Tablet,17,399.0,0.0,6783.0
2025-09-14,East,Tablet,5,899.0,,4495.0
2025-09-15,North,Monitor,2,249.0,0.1,448.2
2025-09-16,North,Monitor,13,599.0,0.05,7397.65
2025-09-17,East,Monitor,16,599.0,0.1,8625.6
2025-09-18,West,Tablet,19,399.0,0.2,6064.8
2025-09-19,North,Laptop,18,599.0,0.05,10242.9
2025-09-20,South,Phone,3,249.0,0.0,747.0
2025-09-21,West,Laptop,15,399.0,0.0,5985.0
2025-09-22,West,Monitor,17,399.0,,6783.0
2025-09-23,East,Laptop,14,899.0,0.0,12586.0
2025-09-24,South,Laptop,16,899.0,0.2,11507.2
2025-09-25,South,Laptop,16,599.0,0.05,9104.8
2025-09-26,East,Tablet,9,249.0,0.2,1792.8
2025-09-27,East,Tablet,1,249.0,0.0,249.0
2025-09-28,South,Monitor,9,399.0,,3591.0
2025-09-29,North,Phone,4,399.0,0.2,1276.8
2025-09-30,North,Phone,3,599.0,0.1,1617.3
2025-10-01,West,Laptop,3,899.0,0.05,2562.15
2025-10-02,South,Laptop,14,899.0,,12586.0
2025-10-03,South,Phone,10,599.0,0.05,5690.5
2025-10-04,South,Monitor,11,599.0,0.1,5930.1
2025-10-05,West,Tablet,15,899.0,0.05,12810.75
2025-10-06,North,Monitor,11,599.0,0.05,6259.55
2025-10-07,North,Laptop,12,899.0,0.1,9709.2
2025-10-08,South,Laptop,2,399.0,0.0,798.0
2025-10-09,South,Monitor,17,249.0,0.0,4233.0
2025-10-10,East,Laptop,9,399.0,0.05,3411.45
2025-10-11,South,Laptop,3,599.0,0.0,1797.0
2025-10-12,South,Phone,16,599.0,0.1,8625.6
2025-10-13,West,Monitor,14,599.0,,8386.0
2025-10-14,North,Tablet,2,899.0,0.0,1798.0
2025-10-15,East,Laptop,4,399.0,0.0,1596.0
2025-10-16,East,Monitor,1,399.0,0.0,399.0
2025-10-17,South,Monitor,6,899.0,0.1,4854.6
2025-10-18,West,Monitor,2,599.0,0.05,1138.1
2025-10-19,South,Monitor,14,599.0,0.1,7547.4
2025-10-20,West,Laptop,10,899.0,0.0,8990.0
2025-10-21,South,Monitor,19,399.0,0.05,7201.95
2025-10-22,East,Phone,15,399.0,0.1,5386.5
2025-10-23,East,Monitor,12,399.0,0.1,4309.2
2025-10-24,West,Tablet,10,399.0,0.1,3591.0
2025-10-25,South,Monitor,2,249.0,0.2,398.4
2025-10-26,South,Tablet,2,249.0,0.1,448.2
2025-10-27,North,Tablet,12,399.0,,4788.0
2025-01-01,North,Phone,12,899.0,,10788.0
2025-01-02,West,Monitor,15,899.0,0.1,12136.5
2025-01-03,East,Laptop,15,899.0,,13485.0
2025-01-04,South,Monitor,3,249.0,0.2,597.6
2025-01-05,South,Tablet,16,599.0,0.2,7667.2
