customer_id,signup_date,gender,age,tenure_months,contract_type,payment_method,monthly_charges,total_charges,support_tickets,churned
C1056,2024-12-09, male,77.0,59,Month-to-month,Bank transfer,999.0,6470.53,1,No
C1057,2025-03-26,Female,33.0,45,Month-to-month,Credit card,65.01,2925.45,1,No
C1058,2024-07-23,Female,45.0,32,Month-to-month,Bank transfer,31.67,1013.44,3,No
C1059,2025-05-11,Female,59.0,37,Two year,Electronic check,51.1,1890.7,1,No
C1060,2025-04-27,Female,75.0,19,Month-to-month,Mailed check,47.02,893.38,1,Yes
C1061,2024-10-17,Female,62.0,36,Month-to-month,Electronic check,39.55,1423.8,2,Yes
C1062,2025-03-03,Male,74.0,27,Month-to-month,Credit card,80.88,2183.76,4,Yes
C1063,2024-05-13,Female,42.0,18,One year,Credit card,53.87,969.66,1,No
C1064,2024-06-12,Male,,71,Month-to-month,Mailed check,20.57,1460.47,0,No
C1065,2025-01-14, male,26.0,1,Two year,Bank transfer,87.42,87.42,1,Yes
C1066,2024-01-25,Female,33.0,7,Two year,Bank transfer,67.21,470.47,2,Yes
C1067,2025-06-30,Female,55.0,14,Month-to-month,Credit card,78.92,1104.88,1,Yes
C1068,2025-04-02,Female,32.0,69,Month-to-month,Credit card,72.64,5012.16,4,No
C1069,2024-07-04,FEMALE,31.0,50,One year,Credit card,85.79,4289.5,0,No
C1070,2024-06-08,FEMALE,24.0,63,Two year,Bank transfer,70.95,4469.85,0,No
C1071,2024-01-13,Female,40.0,15,Month-to-month,Bank transfer,100.91,1513.65,1,No
C1072,2024-07-30,Male,35.0,52,One year,Bank transfer,80.62,4192.24,4,No
C1073,2024-04-20,Female,51.0,27,Two year,Bank transfer,79.8,2154.6,1,Yes
C1074,2025-06-16,FEMALE,53.0,35,Two year,Bank transfer,80.25,2808.75,0,No
C1075,2025-07-13,Female,77.0,1,Month-to-month,Mailed check,33.58,33.58,2,No
C1076,2024-05-05,Male,55.0,44,Month-to-month,Mailed check,65.88,2898.72,0,No
C1077,2024-01-04,Male,27.0,59,Two year,Credit card,63.52,3747.68,2,No
C1078,2024-05-15,Female,43.0,48,Month-to-month,Credit card,75.19,3609.12,1,No
C1079,2024-02-02,Female,22.0,11,Month-to-month,Electronic check,36.03,396.33,2,Yes
C1080,2025-03-01,Female,51.0,38,One year,Bank transfer,110.85,4212.3,4,Yes
C1081,2024-02-28,Male,51.0,19,Month-to-month,Electronic check,72.61,1379.59,1,Yes
C1082,2024-05-06,Female,70.0,69,One year,Credit card,39.72,2740.68,0,No
C1083,2025-06-19,Female,76.0,63,Month-to-month,Bank transfer,27.28,1718.64,0,No
C1084,2025-03-20,Male,75.0,14,Two year,Mailed check,62.97,881.58,2,No
C1085,2024-08-17,Male,20.0,37,Month-to-month,Electronic check,67.76,2507.12,2,No
C1086,2024-03-23,Female,20.0,67,One year,Mailed check,52.04,3486.68,1,No
C1087,2025-02-18,Female,57.0,61,Month-to-month,Credit card,72.3,4410.3,1,Yes
C1088,2024-06-30,Female,77.0,51,Month-to-month,Credit card,53.97,2752.47,1,No
C1089,2025-02-27,Male,19.0,46,Month-to-month,Bank transfer,83.79,3854.34,1,No
C1090,2025-05-08,Female,67.0,3,Month-to-month,Electronic check,51.89,155.67,3,Yes
C1091,2024-09-17,Male,52.0,53,Month-to-month,Credit card,69.04,3659.12,0,No
C1092,2024-03-23,Female,52.0,34,One year,Credit card,94.47,3211.98,1,No
C1093,2025-03-15,Female,25.0,7,Month-to-month,Mailed check,134.29,940.03,3,Yes
C1094,2025-05-31,Male,48.0,18,Month-to-month,Electronic check,44.81,806.58,2,Yes
C1095,2024-10-03, male,58.0,39,Two year,Credit card,58.39,2277.21,1,No
C1096,2024-09-03,FEMALE,61.0,52,Two year,Electronic check,49.0,2548.0,2,No
C1097,2024-11-21,FEMALE,40.0,37,Two year,Credit card,89.61,3315.57,1,No
C1098,2025-06-12,Male,60.0,44,Month-to-month,Mailed check,41.3,1817.2,0,No
C1099,2024-07-03,Female,58.0,62,Month-to-month,Electronic check,57.89,3589.18,0,No
C1100,2024-07-10,Female,62.0,49,Month-to-month,Mailed check,69.26,3393.74,3,Yes
C1101,2024-01-02,Female,,26,Month-to-month,Bank transfer,45.53, ,2,No
C1102,2024-01-18,Male,75.0,46,Month-to-month,Credit card,46.07,2119.22,0,No
C1103,2024-12-21,Male,22.0,43,Month-to-month,Electronic check,58.11,2498.73,2,Yes
C1104,2025-08-02,Female,19.0,8,Month-to-month,Electronic check,20.0,160.0,1,No
C1105,2024-06-08,Male,29.0,5,Month-to-month,Bank transfer,33.86,169.3,3,No
C1106,2024-06-10,Male,22.0,47,Two year,Credit card,59.67,2804.49,0,No
C1107,2024-06-14,Male,34.0,28,Month-to-month,Credit card,73.71,2063.88,1,Yes
C1108,2024-07-04,Female,50.0,43,Month-to-month,Mailed check,65.36,2810.48,0,No
C1109,2025-06-11,Female,28.0,23,One year,Mailed check,25.65,589.95,0,No
C1110,2025-07-12,Female,36.0,17,Month-to-month,Credit card,58.41,992.97,1,Yes
C1111,2024-08-05,Female,30.0,11,Month-to-month,Credit card,89.96,989.56,2,No
C1112,2024-10-07,Male,71.0,28,Month-to-month,Mailed check,83.9,2349.2,0,No
C1113,2024-03-02, male,,58,Month-to-month,Bank transfer,68.03,3945.74,2,Yes
C1114,2024-05-04,Female,55.0,29,One year,Bank transfer,47.82,1386.78,1,No
C1115,2025-01-13, male,45.0,27,Month-to-month,Mailed check,85.78,2316.06,0,No
C1116,2024-01-23,Female,52.0,41,Month-to-month,Credit card,55.53,2276.73,3,No
C1117,2024-11-19,Male,69.0,70,One year,Bank transfer,40.77,2853.9,2,No
C1118,2024-11-13,Male,79.0,28,Two year,Credit card,49.95,1398.6,5,Yes
C1119,2024-02-04, male,48.0,42,Month-to-month,Mailed check,106.21,4460.82,1,No
C1120,2024-10-15,Male,47.0,32,Month-to-month,Mailed check,75.5,2416.0,2,No
C1121,2024-07-28,Female,51.0,43,Month-to-month,Credit card,98.98,4256.14,0,No
C1122,2024-03-19,Female,50.0,32,Two year,Bank transfer,58.02,1856.64,0,No
C1123,2025-01-01,Female,62.0,46,Two year,Electronic check,93.45,4298.7,1,No
C1124,2025-06-01,Female,31.0,39,Month-to-month,Credit card,54.96,2143.44,5,Yes
C1125,2024-06-16,Female,70.0,49,Two year,Electronic check,66.06,3236.94,1,No
C1126,2024-12-02,Female,21.0,68,Month-to-month,Mailed check,132.16,8986.88,2,Yes
C1127,2025-08-14,Female,54.0,11,Month-to-month,Electronic check,89.18,980.98,1,Yes
C1128,2025-05-29,Male,78.0,40,Month-to-month,Credit card,57.47,2298.8,1,Yes
C1129,2025-04-24,Male,20.0,32,Two year,Mailed check,67.88,2172.16,1,No
C1130,2024-08-10, male,73.0,26,Month-to-month,Bank transfer,78.16,2032.16,3,Yes
C1131,2024-10-29,Female,46.0,18,Month-to-month,Credit card,100.26,1804.68,3,Yes
C1132,2024-02-02,Female,70.0,4,One year,Bank transfer,57.77,231.08,0,No
C1133,2025-07-03,Male,20.0,29,Month-to-month,Electronic check,26.47,767.63,1,No
C1134,2024-01-11,Male,72.0,59,Month-to-month,Bank transfer,999.0,3717.59,0,Yes
C1135,2024-01-21, male,55.0,7,Month-to-month,Mailed check,70.38,492.66,1,Yes
C1136,2024-01-27, male,,29,Two year,Electronic check,72.74,2109.46,1,No
C1137,2024-05-14,Male,22.0,69,One year,Credit card,102.92,7101.48,1,No
C1138,2025-06-21,Female,42.0,68,Two year,Mailed check,77.92,5298.56,2,No
C1139,2025-07-02,Male,51.0,16,One year,Electronic check,90.32,1445.12,2,No
C1140,2024-11-21,Male,,1,One year,Electronic check,42.47,42.47,5,No
C1141,2024-11-01,Female,27.0,48,Two year,Bank transfer,91.7,4401.6,0,No
C1142,2024-07-18,Male,59.0,2,One year,Bank transfer,122.41,244.82,1,No
C1143,2024-04-12,Female,71.0,22,One year,Bank transfer,89.32,1965.04,1,Yes
C1144,2025-01-23, male,29.0,36,Month-to-month,Bank transfer,76.34,2748.24,1,Yes
C1145,2024-12-08,Male,23.0,63,Month-to-month,Electronic check,73.85,4652.55,3,No
C1146,2024-10-25,Female,34.0,7,One year,Credit card,114.68,802.76,2,Yes
C1147,2025-03-14,Male,58.0,48,Month-to-month,Electronic check,46.82,2247.36,0,No
C1148,2024-06-09,Male,48.0,38,Two year,Electronic check,67.22,2554.36,1,No
C1149,2024-12-28,Male,61.0,10,One year,Electronic check,81.51,815.1,0,No
C1150,2025-05-09,Female,76.0,61,Month-to-month,Electronic check,88.6,5404.6,1,No
C1151,2024-01-28,Female,35.0,61,Two year,Mailed check,59.07,3603.27,3,No
C1152,2024-09-06,Female,59.0,35,Month-to-month,Bank transfer,77.68,2718.8,3,Yes
C1153,2024-01-23,Male,54.0,68,Month-to-month,Electronic check,63.05,4287.4,2,No
C1154,2024-03-25,Male,71.0,44,Month-to-month,Mailed check,73.01,3212.44,2,No
C1155,2024-09-01,FEMALE,38.0,65,Two year,Mailed check,66.7,4335.5,1,No
C1156,2024-09-24,Female,24.0,69,One year,Bank transfer,41.46,2860.74,2,No
C1157,2024-01-10,Female,34.0,41,Two year,Electronic check,69.47,2848.27,0,No
C1158,2024-02-18,Male,18.0,20,Month-to-month,Electronic check,91.93, ,1,No
C1159,2024-02-20,Female,34.0,11,Two year,Bank transfer,45.82,504.02,0,No
C1160,2025-07-04,Female,70.0,40,One year,Electronic check,63.97,2558.8,2,No
C1161,2025-01-20,Female,18.0,14,One year,Credit card,86.62,1212.68,1,No
C1162,2024-07-12,Male,29.0,54,Two year,Electronic check,43.25,2335.5,2,No
C1163,2024-09-20,Female,59.0,66,Month-to-month,Credit card,74.57,4921.62,1,No
C1164,2024-10-05,Male,32.0,18,Month-to-month,Bank transfer,43.5,783.0,0,No
C1165,2024-02-21,Male,22.0,40,One year,Bank transfer,98.37,3934.8,4,Yes
C1166,2024-05-31,Female,50.0,4,Two year,Electronic check,127.82,511.28,1,No
C1167,2025-06-09,Female,30.0,13,Month-to-month,Credit card,120.56,1567.28,2,Yes
C1168,2024-04-18,Male,59.0,27,One year,Electronic check,64.52,1742.04,1,Yes
C1169,2024-08-09,Male,23.0,63,Month-to-month,Electronic check,88.5,5575.5,1,No
C1170,2024-10-05,Male,20.0,69,One year,Bank transfer,73.02,5038.38,2,No
C1171,2025-06-13,Female,67.0,46,One year,Electronic check,72.55,3337.3,2,No
C1172,2025-07-22,Female,56.0,42,Month-to-month,Electronic check,108.69,4564.98,1,No
C1173,2024-12-31,Male,50.0,41,One year,Electronic check,37.02,1517.82,1,No
C1174,2025-02-26,Female,54.0,5,Month-to-month,Credit card,96.38,481.9,1,No
C1175,2025-01-07,Female,46.0,27,Two year,Bank transfer,68.78,1857.06,2,No
C1176,2024-11-06,Male,53.0,70,Month-to-month,Bank transfer,105.21,7364.7,0,No
C1177,2024-09-11,Female,54.0,30,Month-to-month,Bank transfer,74.68,2240.4,2,No
C1178,2024-08-01,Male,24.0,16,One year,Mailed check,53.18,850.88,2,No
C1179,2025-02-07,Male,68.0,18,Month-to-month,Bank transfer,76.93,1384.74,1,Yes
C1180,2024-05-20,FEMALE,59.0,51,One year,Bank transfer,88.4,4508.4,1,No
C1181,2024-05-26,Male,56.0,3,Month-to-month,Mailed check,70.89,212.67,1,Yes
C1182,2025-01-11,Male,79.0,69,One year,Bank transfer,82.2,5671.8,1,No
C1183,2024-06-03,Female,,63,One year,Credit card,56.96,3588.48,0,No
C1184,2024-10-03,Male,73.0,41,Two year,Electronic check,20.0,820.0,0,No
C1185,2025-06-08,Male,37.0,34,Month-to-month,Bank transfer,92.5,3145.0,1,Yes
C1186,2024-03-28,Female,22.0,55,Month-to-month,Electronic check,87.48,4811.4,1,Yes
C1187,2024-05-02,Male,50.0,39,One year,Electronic check,73.7,2874.3,4,Yes
C1188,2025-08-05,Male,70.0,34,One year,Bank transfer,71.71,2438.14,1,No
C1189,2024-08-19, male,79.0,23,Month-to-month,Credit card,95.91,2205.93,2,Yes
C1190,2024-10-14,FEMALE,58.0,32,One year,Mailed check,58.57,1874.24,0,No
C1191,2025-03-22, male,53.0,54,Month-to-month,Mailed check,52.34,2826.36,2,No
C1192,2025-08-14,Male,72.0,4,Month-to-month,Bank transfer,65.29,261.16,3,Yes
C1193,2024-07-17,Female,47.0,2,Two year,Bank transfer,99.73,199.46,1,Yes
C1194,2024-10-25,Female,70.0,52,Month-to-month,Electronic check,35.32,1836.64,5,No
C1195,2024-08-07,Male,73.0,27,Month-to-month,Bank transfer,99.8,2694.6,0,Yes
C1196,2025-06-07,FEMALE,68.0,58,One year,Electronic check,54.02,3133.16,1,No
C1197,2025-06-29,Male,,3,One year,Credit card,42.48,127.44,1,No
C1198,2024-02-08,Female,33.0,65,One year,Mailed check,101.5,6597.5,1,No
C1199,2024-05-03,Male,21.0,9,Two year,Bank transfer,67.58,608.22,0,No
C1200,2025-01-12,Male,46.0,30,Month-to-month,Bank transfer,37.49,1124.7,1,No
C1201,2024-05-24,Male,66.0,69,One year,Electronic check,61.03,4211.07,3,No
C1202,2024-03-29, male,75.0,8,Two year,Credit card,93.28,746.24,2,Yes
C1203,2025-06-16,Male,76.0,47,One year,Bank transfer,99.8,4690.6,2,No
C1204,2025-07-06, male,21.0,52,One year,Bank transfer,59.32,3084.64,3,No
C1205,2024-06-14,Male,21.0,31,Month-to-month,Credit card,80.16,2484.96,2,No
C1206,2025-01-04,Male,51.0,6,One year,Bank transfer,87.85,527.1,1,No
C1207,2024-07-17,Male,19.0,38,Month-to-month,Electronic check,53.88,2047.44,2,No
C1208,2024-04-02,FEMALE,67.0,31,One year,Credit card,78.88,2445.28,0,No
C1209,2025-06-13,Male,18.0,62,Month-to-month,Bank transfer,69.2,4290.4,2,No
C1210,2024-01-04,Female,50.0,49,Month-to-month,Mailed check,56.6,2773.4,2,No
C1211,2024-07-11,Male,53.0,25,One year,Mailed check,57.7,1442.5,2,No
C1212,2024-01-31,FEMALE,44.0,5,Month-to-month,Credit card,71.68,358.4,2,Yes
C1213,2025-08-21,Female,26.0,42,Month-to-month,Electronic check,70.75,2971.5,3,No
C1214,2024-11-13,Male,67.0,20,Two year,Electronic check,55.86,1117.2,1,No
C1215,2025-05-07,Female,52.0,49,Month-to-month,Electronic check,999.0,2908.15,1,No
C1216,2024-09-04,Male,64.0,62,Two year,Credit card,97.83,6065.46,3,No
C1217,2025-05-23,Male,59.0,26,One year,Mailed check,75.35,1959.1,1,No
C1218,2024-12-10,Male,50.0,65,Month-to-month,Electronic check,92.13,5988.45,2,No
C1219,2024-05-15,Female,18.0,37,One year,Mailed check,100.05,3701.85,2,No
C1220,2024-01-08,Female,45.0,38,Month-to-month,Mailed check,84.72,3219.36,1,No
C1221,2024-05-10,Male,71.0,55,Month-to-month,Bank transfer,126.77,6972.35,6,Yes
C1222,2025-08-17,Male,31.0,57,Two year,Credit card,49.37,2814.09,1,No
C1223,2025-03-27, male,33.0,65,One year,Electronic check,90.21,5863.65,0,No
C1224,2025-06-15,Male,73.0,71,One year,Bank transfer,62.05,4405.55,3,No
C1225,2025-05-11,Male,52.0,11,One year,Bank transfer,116.39,1280.29,2,No
C1226,2025-01-08,Male,56.0,30,One year,Credit card,112.51,3375.3,3,No
C1227,2024-05-14,Male,39.0,67,One year,Credit card,21.14,1416.38,2,No
C1228,2024-08-28,Male,34.0,22,Month-to-month,Mailed check,45.78,1007.16,4,Yes
C1229,2024-05-03,Female,39.0,1,Month-to-month,Credit card,86.61,86.61,2,Yes
C1230,2025-06-20,Male,77.0,41,Month-to-month,Mailed check,89.75,3679.75,2,No
C1231,2024-05-26,Male,43.0,54,Month-to-month,Credit card,88.41,4774.14,0,No
C1232,2025-04-25,Female,52.0,53,Month-to-month,Mailed check,68.23,3616.19,2,Yes
C1233,2024-03-23,Male,18.0,58,Two year,Credit card,81.38,4720.04,2,Yes
C1234,2024-08-24,Male,71.0,46,Month-to-month,Mailed check,86.33,3971.18,3,No
C1235,2024-09-09,Female,44.0,10,Month-to-month,Credit card,68.05,680.5,1,Yes
C1236,2025-03-14,Male,64.0,61,Month-to-month,Credit card,95.68,5836.48,3,No
C1237,2024-10-28,Female,34.0,30,One year,Electronic check,20.0,600.0,3,No
C1238,2025-05-14,Male,57.0,61,Two year,Credit card,85.84,5236.24,1,No
C1239,2025-01-11,Male,40.0,58,Two year,Bank transfer,44.15,2560.7,1,No
C1240,2024-01-02,Male,,69,Month-to-month,Electronic check,93.97,6483.93,0,No
C1241,2024-02-03,Male,28.0,2,Month-to-month,Credit card,64.28,128.56,2,Yes
C1242,2024-09-10,Female,61.0,62,Two year,Bank transfer,47.78,2962.36,1,No
C1243,2024-04-25,Male,38.0,45,Month-to-month,Bank transfer,79.35,3570.75,2,No
C1244,2024-05-17,Male,25.0,35,One year,Electronic check,47.22,1652.7,2,No
C1245,2024-03-11,Female,61.0,57,Month-to-month,Credit card,47.18,2689.26,1,Yes
C1246,2025-08-06,Female,60.0,68,Two year,Electronic check,30.82,2095.76,1,No
C1247,2024-06-11,Male,78.0,37,Month-to-month,Electronic check,69.33,2565.21,2,No
C1248,2025-02-13,Female,72.0,7,Month-to-month,Bank transfer,82.42,576.94,4,Yes
C1249,2024-04-21, male,30.0,52,Month-to-month,Credit card,95.58,4970.16,4,Yes
C1250,2024-03-19,Male,21.0,17,Month-to-month,Bank transfer,66.46,1129.82,1,Yes
C1251,2025-07-15,Male,71.0,17,Two year,Electronic check,96.2,1635.4,5,Yes
C1252,2024-10-17,Female,78.0,14,Two year,Credit card,70.45, ,3,Yes
C1253,2024-08-12,Male,56.0,15,Month-to-month,Credit card,67.67,1015.05,2,No
C1254,2024-04-28,Male,55.0,65,One year,Credit card,84.34,5482.1,1,No
C1255,2024-03-24,Male,24.0,26,Month-to-month,Bank transfer,96.46,2507.96,2,No
C1256,2024-02-02,Female,,8,Month-to-month,Mailed check,61.46,491.68,1,No
C1257,2025-02-03, male,18.0,13,Month-to-month,Mailed check,63.91,830.83,4,No
C1258,2024-03-01,Female,65.0,29,Month-to-month,Electronic check,65.98,1913.42,2,Yes
C1259,2025-08-06,Female,72.0,25,Month-to-month,Bank transfer,72.07,1801.75,4,No
C1260,2024-06-22,Male,19.0,23,One year,Credit card,47.49,1092.27,0,No
C1261,2025-04-21,FEMALE,32.0,68,One year,Electronic check,95.7,6507.6,2,No
C1262,2024-07-05,Female,79.0,62,Month-to-month,Credit card,59.99,3719.38,1,No
C1263,2025-01-23,FEMALE,24.0,41,One year,Bank transfer,81.56,3343.96,2,No
C1264,2025-01-12,Female,67.0,71,Two year,Electronic check,49.36,3504.56,1,No
C1265,2024-08-14,Female,58.0,25,Month-to-month,Credit card,78.97,1974.25,3,No
C1266,2024-05-03,Female,58.0,10,Month-to-month,Credit card,79.79,797.9,1,Yes
C1267,2024-08-29,Male,61.0,20,One year,Credit card,59.48,1189.6,1,No
C1268,2024-07-17,Male,35.0,7,Month-to-month,Mailed check,120.52,843.64,0,Yes
C1269,2024-06-30,Male,73.0,68,One year,Mailed check,79.28,5391.04,1,No
C1270,2024-05-17, male,48.0,16,Month-to-month,Credit card,114.42,1830.72,2,Yes
C1271,2025-04-28,FEMALE,49.0,32,One year,Bank transfer,93.98,3007.36,4,No
C1272,2024-08-01,Female,64.0,15,Month-to-month,Electronic check,53.44,801.6,2,No
C1273,2025-04-27,Male,37.0,70,Month-to-month,Electronic check,60.45,4231.5,4,No
C1274,2025-01-16,Male,21.0,12,Month-to-month,Bank transfer,80.9,970.8,1,Yes
C1275,2024-10-20,Male,37.0,37,One year,Bank transfer,71.53,2646.61,1,No
C1276,2025-03-08,Male,,68,Month-to-month,Electronic check,71.24,4844.32,2,No
C1277,2025-06-01,Male,30.0,38,Two year,Mailed check,62.84,2387.92,1,No
C1278,2024-03-29,Male,65.0,64,Month-to-month,Credit card,24.79,1586.56,2,No
C1279,2025-01-26,Female,57.0,64,Month-to-month,Credit card,64.36,4119.04,0,No
C1280,2024-06-08,Female,59.0,55,Month-to-month,Electronic check,20.0,1100.0,1,No
C1281,2025-02-15,Male,76.0,53,Month-to-month,Bank transfer,79.3,4202.9,0,No
C1282,2024-10-26,Male,32.0,41,Month-to-month,Credit card,51.85,2125.85,1,No
C1283,2024-06-10,Male,23.0,42,One year,Electronic check,52.11,2188.62,3,No
C1284,2024-08-07,Female,39.0,60,One year,Credit card,64.52,3871.2,2,No
C1285,2024-05-24,Female,41.0,31,Month-to-month,Mailed check,76.82,2381.42,0,No
C1286,2025-02-14,Male,18.0,68,Month-to-month,Bank transfer,34.2,2325.6,0,No
C1287,2024-05-16,Female,39.0,63,Month-to-month,Credit card,26.28,1655.64,3,No
C1288,2025-06-09,Male,79.0,27,One year,Mailed check,43.35, ,3,Yes
C1289,2025-07-01,Male,22.0,30,Month-to-month,Bank transfer,20.0,600.0,3,No
C1290,2024-05-04,Female,75.0,51,Two year,Mailed check,45.83,2337.33,0,No
C1291,2025-04-25,Female,54.0,66,One year,Bank transfer,109.77,7244.82,1,No
C1292,2024-10-19,Female,76.0,7,One year,Credit card,43.59,305.13,0,No
C1293,2025-06-23,Male,78.0,5,One year,Electronic check,86.29,431.45,0,Yes
C1294,2024-11-26,Male,,18,One year,Credit card,35.71,642.78,1,No
C1295,2025-05-08,Female,35.0,31,Month-to-month,Credit card,77.48,2401.88,1,No
C1296,2025-06-26,FEMALE,66.0,12,Month-to-month,Mailed check,62.01,744.12,0,Yes
C1297,2025-04-27,Female,63.0,37,Month-to-month,Electronic check,68.5,2534.5,2,No
C1298,2024-08-28,Female,,39,Month-to-month,Bank transfer,84.22,3284.58,0,No
C1299,2024-09-18,Male,73.0,68,Month-to-month,Electronic check,113.91,7745.88,0,No
C1300,2024-07-02,FEMALE,74.0,53,Month-to-month,Electronic check,74.87,3968.11,2,No
C1301,2025-04-04,Male,34.0,18,One year,Electronic check,73.11,1315.98,3,No
C1302,2024-02-14,Female,26.0,56,Month-to-month,Electronic check,45.67,2557.52,1,No
C1303,2024-04-09,Female,74.0,58,Month-to-month,Credit card,84.58,4905.64,2,No
C1304,2024-04-09,Female,19.0,49,Month-to-month,Bank transfer,63.85,3128.65,2,Yes
C1305,2025-01-28,Female,64.0,49,Month-to-month,Bank transfer,90.8,4449.2,0,No
C1306,2024-09-28,Male,63.0,23,Two year,Credit card,68.91,1584.93,2,No
C1307,2024-01-26,Male,58.0,51,Month-to-month,Bank transfer,113.52,5789.52,1,Yes
C1308,2024-08-29,FEMALE,47.0,10,Month-to-month,Electronic check,20.43,204.3,1,Yes
C1309,2025-08-02,Female,30.0,45,Month-to-month,Bank transfer,62.59,2816.55,1,No
C1310,2024-07-19,Male,52.0,66,Month-to-month,Bank transfer,92.04,6074.64,0,No
